
02000000001608Z01       34660060612
02000000001608Z02       17825060612
02000000001608Z03       24844060612
02000000001608Z04         583060612
02000000001608Z05        2527060612
02000000001608Z06         186060612
02000000001608Z07          13060612
02000000001608Z08    45367315060612
02000000001608Z09     1101320060612
02000000001608Z10     2888447060612
02000000001608Z11     1465416060612
02000000001608Z12       92222060612
02000000001608Z74           00606NR
02000000001608V01           00606NR
02000000001608V02           00606NR
02000000001608V03           00606NR
02000000001608V04           00606NR
02000000001608V05           00606NR
02000000001608V07           00606NR
02000000001608Z71      120555060612
02000000001608Z62           0060612
02000000001608Z63      933920060612
02000000001608Z70     1540698060612
02000000001608Z13      592285060612
02000000001608Z14           0060612
02000000001608Z15           0060612
02000000001608Z16           0060612
02000000001609X01           0060612
02000000001609X02           0060612
02000000001609Z99        2054060612
02000000001609V87           0060612
02000000001609X06        2054060612
02000000001609X05           0060612
02000000001609Z98           0060612
02000000001609Z72         131060612
02000000001609Z73           0060612
02000000001609X08         9110606AC
02000000001609Z97           00606NR
02000000001609Z96         358060612
02000000001609Z95           0060612
02000000001609X11        1740060612
02000000001609X12           0060612
02000000001609Z93         146060612
02000000001609Z92           00606NR
02000000001609Z91           00606NR
02000000001609Z90           0060612
02000000001609Z88           9060612
02000000001609Z87           0060612
02000000001609Z68        1927060612
02000000001609X21        1936060612
02000000001609Z89        1278060612
02000000001609X33        4201060612
02000000001609X30        5479060612
02000000001609X42           0060612
02000000001609Z84           0060612
02000000001609X35           5060612
02000000001609Z83         993060612
02000000001609X44        3066060612
02000000001609X46           0060612
02000000001609X47         287060612
02000000001609Z82         287060612
02000000001609Z81       180080606AE
02000000001609Z78        4631060612
02000000001609Z77        2609060612
02000000001609Z76        4339060612
02000000001609Z75           0060612
02000000001609Z01        4339060612
02000000001609Z02         966060612
02000000001609Z03         508060612
02000000001609Z04           0060612
02000000001609Z05           0060612
02000000001609Z06           0060612
02000000001609Z07           0060612
02000000001609Z08       527800606AC
02000000001609Z09           0060612
02000000001609Z10           0060612
02000000001609Z11           0060612
02000000001609Z12           0060612
02000000001609Z74           00606NR
02000000001609V01           00606NR
02000000001609V02           00606NR
02000000001609V03           00606NR
02000000001609V04           00606NR
02000000001609V05           00606NR
02000000001609V07           00606NR
02000000001609Z71         422060612
02000000001609Z62         504060612
02000000001609Z63        2105060612
02000000001609Z70        2068060612
