02000000002000Z76          73090912
02000000002000Z75           0090912
02000000002000V01           00909NR
02000000002000V02           00909NR
02000000002000V03           00909NR
02000000002000V04           00909NR
02000000002000V05           00909NR
02000000002000V07           00909NR
02000000002000X01           00909HC
02000000002000X05           00909HC
02000000002000X08      -242760909AC
02000000002000X11        7375090912
02000000002000X12           00909DC
02000000002000X21         5580909HC
02000000002000X30           00909HC
02000000002000X33           00909HC
02000000002000X35           00909HC
02000000002000X42           00909HC
02000000002000X44       202440909AC
02000000002000X46       148680909HC
02000000002000X47        38580909AD
02000000002000Z01          730909HC
02000000002000Z02           50909HC
02000000002000Z03          74090912
02000000002000Z04           1090912
02000000002000Z05          15090912
02000000002000Z06           0090912
02000000002000Z07           0090912
02000000002000Z08      504110090912
02000000002000Z09        6906090912
02000000002000Z10      103584090912
02000000002000Z11           0090912
02000000002000Z12           0090912
02000000002000Z13        6049090912
02000000002000Z14          83090912
02000000002000Z15        1243090912
02000000002000Z16           0090912
02000000002000Z62           00909HC
02000000002000Z63       157340909HC
02000000002000Z68           00909HC
02000000002000Z70       202440909HC
02000000002000Z71        11520909AE
02000000002000Z72        24240909HC
02000000002000Z73           00909HC
02000000002000Z74           00909NR
02000000002000Z77       157340909HC
02000000002000Z78       345930909HC
02000000002000Z81       898550909AC
02000000002000Z82       187260909AC
02000000002000Z83           00909HC
02000000002000Z84           00909AC
02000000002000Z87           00909HC
02000000002000Z88         5580909HC
02000000002000Z89           00909HC
02000000002000Z90           00909HC
02000000002000Z91       278520909HC
02000000002000Z92           00909NR
02000000002000Z93         2420909HC
02000000002000Z95           00909HC
02000000002000Z96           00909DC
02000000002000Z97           00909NR
02200200110000X04           00909NR
02200200110000V01           00909NR
02200200110000V02           00909NR
02200200110000V03           00909NR
02200200110000V04           00909NR
02200200110000V05           00909NR
02200200110000V07           00909NR
02200200110000X01           00909NR
02200200110000X05           00909NR
02200200110000X08     -1069270909NR
02200200110000X11       273880909NR
02200200110000X12           00909NR
02200200110000X21        44150909NR
02200200110000X30       401700909NR
02200200110000X33       354130909NR
02200200110000X35           00909NR
02200200110000X42           00909NR
02200200110000X44       676460909NR
02200200110000X46           00909NR
02200200110000X47       335180909NR
02200200110000Z01          830909NR
02200200110000Z02          110909NR
02200200110000Z03         4700909NR
02200200110000Z04         1280909NR
02200200110000Z05          600909NR
02200200110000Z06           00909NR
02200200110000Z07           00909NR
02200200110000Z08     17350700909NR
02200200110000Z09      3825620909NR
02200200110000Z10      1533010909NR
02200200110000Z11           00909NR
02200200110000Z12           00909NR
02200200110000Z13       196190909NR
02200200110000Z14        46240909NR
02200200110000Z15        17310909NR
02200200110000Z16        14140909NR
02200200110000Z62       161000909NR
02200200110000Z63       204470909NR
02200200110000Z68           00909NR
02200200110000Z70       413400909NR
02200200110000Z71        67210909NR
02200200110000Z72        23450909NR
02200200110000Z73         3910909NR
02200200110000Z74           00909NR
02200200110000Z77       365470909NR
02200200110000Z78       961730909NR
02200200110000Z81      2784690909NR
02200200110000Z82       335180909NR
