01205100110000V01           0080811
01205100110000V02           00808NR
01205100110000V03           00808NR
01205100110000V04           00808NR
01205100110000V05           00808NR
01205100110000V07           00808NR
01205100110000X01        5655080811
01205100110000X05           0080811
01205100110000X08       186590808AC
01205100110000X11       18752080811
01205100110000X12         990080811
01205100110000X21        61790808AD
01205100110000X30       334600808AD
01205100110000X33           0080811
01205100110000X35           0080811
01205100110000X42           0080811
01205100110000X44      1518690808AD
01205100110000X46           0080811
01205100110000X47           0080811
01205100110000Z01        3147080811
01205100110000Z02           0080811
01205100110000Z03        1241080811
01205100110000Z04         104080811
01205100110000Z05          60080811
01205100110000Z06         192080811
01205100110000Z07           0080811
01205100110000Z08     13802630808AD
01205100110000Z09      1156700808AD
01205100110000Z10       667330808AD
01205100110000Z11           0080811
01205100110000Z12           0080811
01205100110000Z13       18752080811
01205100110000Z14           0080811
01205100110000Z15           0080811
01205100110000Z16           0080811
01205100110000Z62           0080811
01205100110000Z63       216580808AD
01205100110000Z68        61790808AD
01205100110000Z70           0080811
01205100110000Z71       10433080811
01205100110000Z72           0080811
01205100110000Z73           0080811
01205100110000Z74           00808NR
01205100110000Z77       216580808AD
01205100110000Z78       941490808AD
01205100110000Z81      3073150808AC
01205100110000Z82           0080811
01205100110000Z83      1518690808AD
01205100110000Z84           0080811
01205100110000Z87           0080811
01205100110000Z88           0080811
01205100110000Z89       334600808AD
01205100110000Z90           00808AE
01205100110000Z91           00808NR
01205100110000Z92           00808NR
01205100110000Z93        1543080811
01205100110000Z95           0080811
01205100110000Z96        8226080811
01205100110000Z97           00808NR
01206300210000X04        3617080811
01206300210000V01           00808NR
01206300210000V02           00808NR
01206300210000V03           00808NR
01206300210000V04           00808NR
01206300210000V05           00808NR
01206300210000V07           00808NR
01206300210000X01        2656080811
01206300210000X05           00808NR
01206300210000X08        -5120808AC
01206300210000X11        9557080811
01206300210000X12         268080811
01206300210000X21       12735080811
01206300210000X30       13748080811
01206300210000X33           00808NR
01206300210000X35           00808NR
01206300210000X42           00808NR
01206300210000X44           00808NR
01206300210000X46           00808NR
01206300210000X47           00808NR
01206300210000Z01         461080811
01206300210000Z02           0080811
01206300210000Z03         214080811
01206300210000Z04          17080811
01206300210000Z05          72080811
01206300210000Z06           00808NR
01206300210000Z07           00808NR
01206300210000Z08      563174080811
01206300210000Z09       25739080811
01206300210000Z10       61107080811
01206300210000Z11           00808NR
01206300210000Z12           00808NR
01206300210000Z13        9557080811
01206300210000Z14           00808NR
01206300210000Z15           00808NR
01206300210000Z16           00808NR
01206300210000Z62           00808NR
01206300210000Z63           00808NR
01206300210000Z68       12656080811
01206300210000Z70           00808NR
01206300210000Z71        1448080811
01206300210000Z72         575080811
01206300210000Z73           00808NR
01206300210000Z74           00808NR
01206300210000Z77           00808NR
01206300210000Z78       39258080811
01206300210000Z81       65741080811
01206300210000Z82           00808NR
01206300210000Z83           00808NR
01206300210000Z84           00808NR
01206300210000Z87          75080811
01206300210000Z88           4080811
01206300210000Z89       13748080811
01206300210000Z90           00808NR
01206300210000Z91        2535080811
01206300210000Z92           00808NR
01206300210000Z93         628080811
01206300210000Z95           00808NR
01206300210000Z96           00808NR
01206300210000Z97           00808NR
02000000001605X02        85600808AD
02000000001605X06        66160808AC
02000000001605Z99        66160808AD
02000000001605V87           00808AC
02000000001605Z98           00808HC
02000000001605Z76         5850808AD
02000000001605Z75        80970808AC
02000000001605V01           00808NR
02000000001605V02           00808NR
02000000001605V03           00808NR
02000000001605V04           00808NR
02000000001605V05           00808NR
02000000001605V07           00808NR
02000000001605X01       455610808AC
02000000001605X05       763630808AC
02000000001605X08     -1127700808AC
02000000001605X11      3110720808AD
02000000001605X12           00808DC
02000000001605X21       142890808HC
02000000001605X30           00808HC
02000000001605X33           00808HC
02000000001605X35           00808HC
02000000001605X42           00808HC
02000000001605X44      9196710808HC
02000000001605X46           00808HC
02000000001605X47     13570430808HC
02000000001605Z01        86820808HC
02000000001605Z02         7940808HC
02000000001605Z03        93710808AC
02000000001605Z04          780808AD
02000000001605Z05         5430808AD
02000000001605Z06           0080812
02000000001605Z07           0080812
02000000001605Z08    245820040808AD
02000000001605Z09      2295510808AD
02000000001605Z10      7458620808AD
02000000001605Z11           0080812
02000000001605Z12           0080812
02000000001605Z13      311072080812
02000000001605Z14           0080812
02000000001605Z15           0080812
02000000001605Z16           0080812
02000000001605Z62           00808HC
02000000001605Z63      8141110808HC
02000000001605Z68           00808HC
02000000001605Z70      9196710808HC
02000000001605Z71       580610808HC
02000000001605Z72      1263850808HC
02000000001605Z73       179130808HC
02000000001605Z74           00808NR
02000000001605Z77      8141110808HC
02000000001605Z78     15268870808HC
02000000001605Z81     46320010808HC
02000000001605Z82     13570430808HC
02000000001605Z83           00808HC
02000000001605Z84           00808HC
02000000001605Z87           00808HC
02000000001605Z88       142890808HC
02000000001605Z89           00808HC
02000000001605Z90           00808HC
02000000001605Z91      315129080812
02000000001605Z92           00808NR
02000000001605Z93       265230808HC
02000000001605Z95           00808HC
02000000001605Z96           00808HC
02000000001605Z97           00808NR
02000000001608X02       747130808AC
02000000001608X06      2470770808AC
02000000001608Z99      2470770808AC
02000000001608V87           00808HC
02000000001608Z98           00808HC
02000000001608Z76       14112080812
02000000001608Z75       17249080812
02000000001608V01           00808NR
02000000001608V02           00808NR
02000000001608V03           00808NR
02000000001608V04           00808NR
02000000001608V05           00808NR
02000000001608V07           00808NR
02000000001608X01       457930808AD
02000000001608X05      3020010808AD
02000000001608X08     -2568590808AD
02000000001608X11      4391230808AC
02000000001608X12       143330808AC
02000000001608X21       589870808AC
02000000001608X30     17687650808AC
02000000001608X33     17094780808AD
02000000001608X35         6210808AD
02000000001608X42           00808HC
02000000001608X44     16339100808AC
02000000001608X46           00808AC
02000000001608X47     29686900808AC
02000000001608Z01       313610808HC
02000000001608Z02        63980808HC
02000000001608Z03       261240808AC
02000000001608Z04         6130808AD
02000000001608Z05        26580808AD
02000000001608Z06           0080812
02000000001608Z07           0080812
02000000001608Z08    338150000808AD
02000000001608Z09      7050000808AD
02000000001608Z10     20740000808AD
02000000001608Z11           0080812
02000000001608Z12           0080812
02000000001608Z13      405775080812
02000000001608Z14        8460080812
02000000001608Z15       24888080812
02000000001608Z16           0080812
02000000001608Z62           00808HC
02000000001608Z63     11639980808AC
02000000001608Z68       530260808AD
02000000001608Z70     10335270808AC
02000000001608Z71      1301250808AD
02000000001608Z72      2810430808AD
02000000001608Z73       396350808AD
02000000001608Z74           00808NR
02000000001608Z77     11639980808AC
02000000001608Z78     32191510808AC
02000000001608Z81    108135010808AC
02000000001608Z82     29686900808AC
02000000001608Z83      5997620808AD
02000000001608Z84           00808HC
02000000001608Z87           00808HC
02000000001608Z88        59610808AC
02000000001608Z89       592870808HC
02000000001608Z90           00808HC
02000000001608Z91      7076620808AC
02000000001608Z92           00808NR
02000000001608Z93       650160808AD
02000000001608Z95           00808HC
02000000001608Z96           00808HC
02000000001608Z97           00808NR
02000000001609X02           00808AC
02000000001609X06       117370808AC
02000000001609Z99       117370808AC
02000000001609V87           00808HC
02000000001609Z98           00808HC
02000000001609Z76        3846080812
02000000001609Z75           0080812
02000000001609V01           00808NR
02000000001609V02           00808NR
02000000001609V03           00808NR
02000000001609V04           00808NR
02000000001609V05           00808NR
02000000001609V07           00808NR
02000000001609X01           00808HC
02000000001609X05           00808HC
02000000001609X08        -3150808AC
02000000001609X11        1642080812
02000000001609X12           00808DC
02000000001609X21          250808HC
02000000001609X30           00808HC
02000000001609X33           00808HC
02000000001609X35           00808HC
02000000001609X42           00808HC
02000000001609X44        26490808HC
02000000001609X46           00808HC
02000000001609X47           00808HC
02000000001609Z01        38460808HC
02000000001609Z02         9360808HC
02000000001609Z03         506080812
02000000001609Z04           0080812
02000000001609Z05           0080812
02000000001609Z06           0080812
02000000001609Z07           0080812
02000000001609Z08      1368330808AD
02000000001609Z09           0080812
02000000001609Z10           0080812
02000000001609Z11           0080812
02000000001609Z12           0080812
02000000001609Z13        1642080812
02000000001609Z14           0080812
02000000001609Z15           0080812
02000000001609Z16           0080812
02000000001609Z62           00808HC
02000000001609Z63       167110808HC
02000000001609Z68          250808HC
02000000001609Z70        26490808HC
02000000001609Z71         6160808HC
02000000001609Z72         1560808HC
02000000001609Z73          620808AD
02000000001609Z74           00808NR
02000000001609Z77       167110808HC
02000000001609Z78        78770808HC
02000000001609Z81       272620808HC
02000000001609Z82           00808HC
02000000001609Z83           00808HC
02000000001609Z84           00808HC
02000000001609Z87           00808HC
02000000001609Z88           00808HC
02000000001609Z89           00808HC
02000000001609Z90           00808HC
02000000001609Z91        11490808AD
02000000001609Z92           00808NR
02000000001609Z93         2110808HC
02000000001609Z95           00808HC
02000000001609Z96           00808AC
02000000001609Z97           00808NR
02000000002000X02         5100808AC
02000000002000X06       548600808AC
02000000002000Z99       548600808AC
02000000002000V87           00808HC
02000000002000Z98           00808HC
02000000002000Z76          71080812
02000000002000Z75           0080812
02000000002000V01           00808NR
02000000002000V02           00808NR
02000000002000V03           00808NR
02000000002000V04           00808NR
02000000002000V05           00808NR
02000000002000V07           00808NR
02000000002000X01           00808HC
02000000002000X05           00808HC
02000000002000X08        42180808AC
02000000002000X11        6680080812
02000000002000X12          180808AD
02000000002000X21          490808AC
02000000002000X30        45510808AC
02000000002000X33           00808AC
02000000002000X35           00808AC
02000000002000X42           00808HC
